variable,grupo,dtype,%_nulos
fecha,id,datetime64[us],0.0
product_key,id,str,0.0
sucursal,id,str,0.0
product_clean,id,str,0.0
target_1d,target,float64,0.0
target_3d,target,float64,0.49
target_7d,target,float64,1.47
target_15d,target,float64,3.43
target_30d,target,float64,7.08
anio,temporal,int32,0.0
trimestre,temporal,int32,0.0
mes,temporal,int32,0.0
dia,temporal,int32,0.0
dia_anio,temporal,int32,0.0
dia_semana,temporal,int32,0.0
nombre_dia,temporal,str,0.0
semana_anio,temporal,int64,0.0
fin_de_semana,temporal,int64,0.0
inicio_mes,temporal,int64,0.0
fin_mes,temporal,int64,0.0
quincena,temporal,int64,0.0
mes_sin,temporal,float64,0.0
mes_cos,temporal,float64,0.0
dow_sin,temporal,float64,0.0
dow_cos,temporal,float64,0.0
festivo,temporal,int64,0.0
vispera_festivo,temporal,int64,0.0
postfestivo,temporal,int64,0.0
lag_1,lags,float64,0.25
lag_2,lags,float64,0.49
lag_3,lags,float64,0.74
lag_7,lags,float64,1.72
lag_14,lags,float64,3.43
lag_21,lags,float64,5.14
lag_28,lags,float64,6.84
lag_30,lags,float64,7.33
lag_60,lags,float64,14.56
lag_90,lags,float64,21.61
ma_3,rolling,float64,0.25
std_3,rolling,float64,0.49
max_3,rolling,float64,0.25
min_3,rolling,float64,0.25
med_3,rolling,float64,0.25
ma_7,rolling,float64,0.25
std_7,rolling,float64,0.49
max_7,rolling,float64,0.25
min_7,rolling,float64,0.25
med_7,rolling,float64,0.25
ma_14,rolling,float64,0.25
std_14,rolling,float64,0.49
max_14,rolling,float64,0.25
min_14,rolling,float64,0.25
med_14,rolling,float64,0.25
ma_21,rolling,float64,0.25
std_21,rolling,float64,0.49
max_21,rolling,float64,0.25
min_21,rolling,float64,0.25
med_21,rolling,float64,0.25
ma_30,rolling,float64,0.25
std_30,rolling,float64,0.49
max_30,rolling,float64,0.25
min_30,rolling,float64,0.25
med_30,rolling,float64,0.25
ma_60,rolling,float64,0.25
std_60,rolling,float64,0.49
max_60,rolling,float64,0.25
min_60,rolling,float64,0.25
med_60,rolling,float64,0.25
ma_90,rolling,float64,0.25
std_90,rolling,float64,0.49
max_90,rolling,float64,0.25
min_90,rolling,float64,0.25
med_90,rolling,float64,0.25
crec_diario,tendencia,float64,0.49
crec_semanal,tendencia,float64,3.43
crec_mensual,tendencia,float64,0.25
tendencia,tendencia,float64,0.25
pendiente_7,tendencia,float64,0.25
rango_movil_30,tendencia,float64,0.25
p90_movil_30,tendencia,float64,0.25
media_dia_semana_hist,estacionalidad,float64,1.72
media_mes_hist,estacionalidad,float64,2.63
entra,inventario,float64,0.0
sale,inventario,float64,0.0
entradas_acum,inventario,float64,0.0
salidas_acum,inventario,float64,0.0
stock_inicial_dia,inventario,float64,0.0
consumo_acum,inventario,float64,0.0
cobertura_dias,inventario,float64,59.97
rotacion,inventario,float64,11.99
dias_sin_stock,inventario,int64,0.0
dias_desde_ingreso,inventario,float64,11.99
dias_desde_venta,inventario,float64,0.25
edad_lote_est,perecibilidad,float64,11.99
pct_vida_util,perecibilidad,float64,11.99
dias_restantes_est,perecibilidad,float64,11.99
riesgo_vencimiento,perecibilidad,int64,0.0
demanda,demanda_hist,float64,0.0
demanda_acum,demanda_hist,float64,0.0
media_hist,demanda_hist,float64,0.25
std_hist,demanda_hist,float64,0.49
max_hist,demanda_hist,float64,0.25
cv_hist,demanda_hist,float64,0.49
share_producto_suc,sucursal,float64,0.04
category,producto,str,0.0
presentation,producto,str,0.0
talla,producto,str,66.11
peso_declarado,producto,float64,70.61
is_granel,producto,int64,0.0
is_funda,producto,int64,0.0
is_caja,producto,int64,0.0
is_bandeja,producto,int64,0.0
is_libra,producto,int64,0.0
is_unidad,producto,int64,0.0
es_insumo,producto,int64,0.0
