,0
ma_60,0.21341129
ma_30,0.110291176
stock_inicial_dia,0.04165372
std_7,0.04003621
pct_vida_util,0.025634192
max_30,0.024435628
max_60,0.023647966
ma_7,0.019486027
rotacion,0.018149013
rango_movil_30,0.015591515
mes_cos,0.014919345
ma_90,0.014402591
ma_21,0.0142406
dia_anio,0.013811087
edad_lote_est,0.013137399
is_libra,0.012245281
p90_movil_30,0.011924021
crec_mensual,0.011691767
mes_sin,0.01132404
sale,0.011321675
max_14,0.010345294
tendencia,0.009869206
salidas_acum,0.009710711
trimestre,0.009445716
entradas_acum,0.009400891
std_14,0.009239658
max_7,0.009041194
cv_hist,0.009025233
max_hist,0.008465202
demanda_acum,0.008381959
